Participant Number,Age,Gender,Case_Number,Experience_Total,Position,GRS_Total,OSATS_Total,CFS_Total,Self_Rating,QRS_Overal,Vid_Name
1,28,m,1,2.0,Assistenzarzt/Assistenzärztin,59.25,23.0,9.25,3.0,48.5,2024-01-15_13-18-23
1,28,m,2,2.0,Assistenzarzt/Assistenzärztin,54.4,24.6,10.8,4.0,45.0,2024-01-15_13-37-36
1,28,m,3,2.0,Assistenzarzt/Assistenzärztin,74.5,30.0,9.5,4.0,60.5,2024-01-15_14-03-23
2,28,m,1,3.0,Assistenzarzt/Assistenzärztin,49.25,19.5,9.5,1.0,39.25,2024-01-15_14-32-45
2,28,m,2,3.0,Assistenzarzt/Assistenzärztin,49.0,16.5,8.0,1.0,38.0,2024-01-15_15-05-31
2,28,m,3,3.0,Assistenzarzt/Assistenzärztin,59.5,18.75,8.5,2.0,47.0,2024-01-15_15-38-13
3,40,m,1,1.0,Oberarzt/Oberärztin,74.0,35.75,12.0,3.0,62.0,2024-01-15_15-58-44
3,40,m,2,1.0,Oberarzt/Oberärztin,77.75,36.75,11.75,3.0,64.5,2024-01-15_16-17-19
3,40,m,3,1.0,Oberarzt/Oberärztin,77.25,33.0,9.75,4.0,63.0,2024-01-15_16-31-26
4,27,m,1,0.75,Assistenzarzt/Assistenzärztin,46.0,15.0,6.75,4.0,37.25,2024-01-15_17-37-24
4,27,m,2,0.75,Assistenzarzt/Assistenzärztin,51.0,18.75,8.25,4.0,40.5,2024-01-15_17-57-25
4,27,m,3,0.75,Assistenzarzt/Assistenzärztin,52.75,16.0,6.75,4.0,42.0,2024-01-15_18-17-18
5,30,w,1,2.0,Assistenzarzt/Assistenzärztin,45.25,15.0,6.25,3.0,36.0,2024-01-16_14-30-29
5,30,w,2,2.0,Assistenzarzt/Assistenzärztin,58.5,21.5,10.0,2.0,47.25,2024-01-16_15-20-49
5,30,w,3,2.0,Assistenzarzt/Assistenzärztin,55.25,16.25,8.0,4.0,43.0,2024-01-16_15-41-03
6,23,m,1,0.0,Unterassistenzarzt/Unterassistenzärztin,44.25,12.25,6.25,2.0,35.0,2024-01-16_16-03-11
6,23,m,2,0.0,Unterassistenzarzt/Unterassistenzärztin,55.5,24.0,11.25,4.0,44.25,2024-01-16_16-34-19
6,23,m,3,0.0,Unterassistenzarzt/Unterassistenzärztin,53.75,17.75,8.25,3.0,41.5,2024-01-16_17-00-33
7,32,m,1,1.5,Assistenzarzt/Assistenzärztin,54.0,19.0,9.25,4.0,44.0,2024-01-17_16-04-01
7,32,m,2,1.5,Assistenzarzt/Assistenzärztin,58.75,23.75,9.75,2.0,47.0,2024-01-17_16-22-28
7,32,m,3,1.5,Assistenzarzt/Assistenzärztin,52.75,14.5,7.75,4.0,41.25,2024-01-17_16-48-38
9,45,w,1,15.0,(stv) Chefarzt/Chefärztin,71.25,32.75,12.25,5.0,58.66666666666666,2024-01-18_10-40-40
9,45,w,2,15.0,(stv) Chefarzt/Chefärztin,76.0,35.66666667,12.0,5.0,62.66666666666666,2024-01-18_10-52-25
9,45,w,3,15.0,(stv) Chefarzt/Chefärztin,73.66666667,21.0,8.333333333,5.0,60.0,2024-01-18_11-08-40
10,32,m,1,1.0,Assistenzarzt/Assistenzärztin,73.0,30.25,12.0,3.0,60.75,2024-01-18_13-11-31
10,32,m,2,1.0,Assistenzarzt/Assistenzärztin,67.5,29.0,11.5,3.0,55.25,2024-01-18_13-25-00
10,32,m,3,1.0,Assistenzarzt/Assistenzärztin,76.25,28.75,9.25,4.0,62.25,2024-01-18_13-45-41
11,38,w,1,13.0,Oberarzt/Oberärztin,57.5,26.0,10.5,2.0,47.0,2024-01-18_14-39-24
11,38,w,2,13.0,Oberarzt/Oberärztin,64.25,28.75,11.75,3.0,52.25,2024-01-18_14-55-56
11,38,w,3,13.0,Oberarzt/Oberärztin,60.0,14.25,8.5,4.0,47.5,2024-01-18_15-17-27
12,47,m,1,20.0,Ärztlicher Leiter/ Ärztliche Leiterin,71.75,35.25,12.25,5.0,59.75,2024-01-18_16-55-29
12,47,m,2,20.0,Ärztlicher Leiter/ Ärztliche Leiterin,79.75,38.25,12.75,5.0,66.0,2024-01-18_17-08-23
12,47,m,3,20.0,Ärztlicher Leiter/ Ärztliche Leiterin,70.25,25.0,9.0,4.0,56.75,2024-01-18_17-27-09
13,37,w,1,3.0,Assistenzarzt/Assistenzärztin,54.25,19.25,10.5,3.0,44.5,2024-01-19_10-36-30
13,37,w,2,3.0,Assistenzarzt/Assistenzärztin,68.0,29.5,11.5,4.0,55.5,2024-01-19_10-52-30
13,37,w,3,3.0,Assistenzarzt/Assistenzärztin,61.0,20.0,8.5,4.0,48.5,2024-01-19_11-14-25
14,41,m,1,17.0,(stv) Chefarzt/Chefärztin,75.5,33.75,11.75,4.0,62.75,2024-01-19_14-38-04
14,41,m,2,17.0,(stv) Chefarzt/Chefärztin,79.5,37.0,12.5,4.0,66.25,2024-01-19_14-50-40
14,41,m,3,17.0,(stv) Chefarzt/Chefärztin,82.5,30.5,10.0,4.0,67.75,2024-01-19_15-05-38
15,38,m,1,10.0,Oberarzt/Oberärztin,72.25,35.0,12.0,2.0,60.25,2024-01-19_15-40-07
15,38,m,2,10.0,Oberarzt/Oberärztin,75.25,36.5,12.5,4.0,61.25,2024-01-19_15-52-21
15,38,m,3,10.0,Oberarzt/Oberärztin,81.33333333,28.33333333,9.666666667,4.0,67.0,2024-01-19_16-11-05
16,26,m,1,0.0,Unterassistenzarzt/Unterassistenzärztin,54.25,19.75,9.5,3.0,44.0,2024-01-22_11-03-50
16,26,m,2,0.0,Unterassistenzarzt/Unterassistenzärztin,52.25,24.75,9.0,2.0,41.25,2024-01-22_11-22-50
16,26,m,3,0.0,Unterassistenzarzt/Unterassistenzärztin,72.25,24.25,9.25,2.0,58.75,2024-01-22_11-48-10
17,37,w,1,10.0,Oberarzt/Oberärztin,59.0,23.75,10.0,4.0,48.5,2024-01-22_13-18-56
17,37,w,2,10.0,Oberarzt/Oberärztin,64.25,30.5,12.25,4.0,52.25,2024-01-22_13-34-51
17,37,w,3,10.0,Oberarzt/Oberärztin,73.0,23.25,9.25,4.0,59.25,2024-01-22_13-54-13
18,24,w,1,0.0,Unterassistenzarzt/Unterassistenzärztin,50.0,18.75,8.0,1.0,40.5,2024-01-22_14-27-29
18,24,w,2,0.0,Unterassistenzarzt/Unterassistenzärztin,45.75,14.0,6.25,1.0,35.5,2024-01-22_14-53-01
18,24,w,3,0.0,Unterassistenzarzt/Unterassistenzärztin,54.75,14.25,7.5,3.0,43.25,2024-01-22_15-11-58
19,24,w,1,0.0,Unterassistenzarzt/Unterassistenzärztin,44.0,12.75,4.5,,35.5,2024-01-22_16-51-08
19,24,w,2,0.0,Unterassistenzarzt/Unterassistenzärztin,43.25,12.5,8.0,,33.75,2024-01-22_17-16-51
20,32,w,1,6.0,Assistenzarzt/Assistenzärztin,67.5,30.75,12.0,4.0,56.0,2024-01-22_17-34-58
20,32,w,2,6.0,Assistenzarzt/Assistenzärztin,77.0,37.75,12.5,4.0,63.5,2024-01-22_17-56-56
20,32,w,3,6.0,Assistenzarzt/Assistenzärztin,74.66666667,26.0,10.0,5.0,60.0,2024-01-22_18-22-45
21,28,w,1,3.0,Assistenzarzt/Assistenzärztin,61.5,28.75,11.25,4.0,50.75,2024-01-23_08-09-57
21,28,w,2,3.0,Assistenzarzt/Assistenzärztin,48.75,13.0,6.75,3.0,38.25,2024-01-23_08-23-33
21,28,w,3,3.0,Assistenzarzt/Assistenzärztin,68.25,22.5,9.5,4.0,55.5,2024-01-23_08-43-31
22,24,m,1,0.0,Unterassistenzarzt/Unterassistenzärztin,55.0,21.5,11.75,4.0,45.75,2024-01-23_10-35-15
22,24,m,2,0.0,Unterassistenzarzt/Unterassistenzärztin,43.5,16.25,9.0,2.0,33.75,2024-01-23_10-57-15
22,24,m,3,0.0,Unterassistenzarzt/Unterassistenzärztin,56.0,16.5,8.25,3.0,44.25,2024-01-23_11-29-56
23,29,w,1,3.5,Assistenzarzt/Assistenzärztin,44.75,15.0,8.0,2.0,35.75,2024-01-23_14-25-29
23,29,w,2,3.5,Assistenzarzt/Assistenzärztin,63.0,33.0,11.75,3.0,51.5,2024-01-23_14-50-30
23,29,w,3,3.5,Assistenzarzt/Assistenzärztin,58.0,17.5,8.25,3.0,46.0,2024-01-23_15-13-52
24,40,m,1,12.0,Oberarzt/Oberärztin,44.0,14.25,6.25,1.0,35.5,2024-01-23_17-04-42
24,40,m,2,12.0,Oberarzt/Oberärztin,68.25,37.0,12.0,4.0,55.5,2024-01-23_17-25-52
24,40,m,3,12.0,Oberarzt/Oberärztin,63.66666667,23.33333333,9.666666667,4.0,51.333333333333336,2024-01-23_17-46-58
25,51,m,1,20.0,Oberarzt/Oberärztin,60.0,22.5,10.75,4.0,49.25,2024-01-24_08-12-33
25,51,m,2,20.0,Oberarzt/Oberärztin,63.75,31.5,11.75,4.0,51.75,2024-01-24_08-28-15
25,51,m,3,20.0,Oberarzt/Oberärztin,56.25,18.75,8.5,4.0,44.0,2024-01-24_08-51-18
26,27,m,1,3.0,(stv) Chefarzt/Chefärztin,60.75,25.75,11.5,4.0,50.0,2024-01-24_09-56-13
26,27,m,2,3.0,(stv) Chefarzt/Chefärztin,63.0,31.0,11.75,4.0,50.75,2024-01-24_10-10-49
26,27,m,3,3.0,(stv) Chefarzt/Chefärztin,63.5,21.5,10.0,4.0,50.5,2024-01-24_10-27-15
27,27,m,1,1.0,Assistenzarzt/Assistenzärztin,55.25,24.75,10.75,3.0,45.0,2024-01-24_14-26-36
27,27,m,2,1.0,Assistenzarzt/Assistenzärztin,47.25,14.5,7.0,3.0,37.75,2024-01-24_14-44-22
27,27,m,3,1.0,Assistenzarzt/Assistenzärztin,59.0,21.5,9.5,3.0,46.75,2024-01-24_15-06-52
28,31,m,1,4.0,Assistenzarzt/Assistenzärztin,68.75,32.0,10.75,5.0,57.25,2024-01-24_15-52-33
28,31,m,2,4.0,Assistenzarzt/Assistenzärztin,72.25,35.25,12.25,5.0,59.75,2024-01-24_16-04-43
28,31,m,3,4.0,Assistenzarzt/Assistenzärztin,70.0,28.25,9.75,5.0,56.5,2024-01-24_16-21-06
29,24,w,1,0.0,Unterassistenzarzt/Unterassistenzärztin,49.75,18.0,10.5,4.0,40.75,2024-01-24_16-52-58
29,24,w,2,0.0,Unterassistenzarzt/Unterassistenzärztin,62.0,32.75,10.5,2.0,50.25,2024-01-24_17-19-03
29,24,w,3,0.0,Unterassistenzarzt/Unterassistenzärztin,61.25,19.0,9.75,4.0,49.5,2024-01-24_17-41-55
